,,,Vanilla Location-1,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,,Vanilla Location-2,,,,,,,,,,,Vanilla with memory based and memoryless heuristic,,,,,,,Vanilla Location-3,,,,,,,,,,,,,Inverse Heat,,,,,mSA Random Heuristics,,,,Vanilla with memory based and memoryless heuristic,,
,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,Mean,Upper,Lower,,,,,,,,Mean,Std,Upper ,Lower,,new_Mean,Upper,Lower,,,new_Mean,Upper,Lower,,,Mean,Upper,Lower,,Mean,Upper,Lower
25,18,15,31,21,22,6.244997998,28.244998,15.755002,,25.75,31.862,19.638,,4.35,4.9371,3.7629,,,17,21,23,22,19,20.4,2.408318916,22.80831892,17.99168108,,21.65,27.713,15.587,,0,0,0,,,19,18,22,15,21,19,2.738612788,21.73861279,16.26138721,,18.5,23.128,13.872,,,12.05,17.93,6.1698,,,9.35,15.156,3.5437,,0,0,0
26,17,14,33,21,22.2,7.529940239,29.72994024,14.67005976,,26.05,32.37,19.73,,3.9,4.6182,3.1818,,,17,24,24,24,21,22,3.082207001,25.082207,18.917793,,22.15,28.469,15.831,,0,0,0,,,20,18,21,16,20,19,2,21,17,,19.15,23.798,14.502,,,11.8,18.021,5.5795,,,9.65,15.309,3.9906,,0,0,0
25,17,15,32,20,21.8,6.833739825,28.63373983,14.96626017,,25.75,31.793,19.707,,3.9,4.3472,3.4528,,,18,23,24,25,21,22.2,2.774887385,24.97488739,19.42511261,,22.05,28.543,15.557,,0,0,0,,,19,19,21,15,20,18.8,2.28035085,21.08035085,16.51964915,,19.4,24.14,14.66,,,11.85,18.317,5.3833,,,9.9,15.802,3.9982,,0,0,0
26,18,15,33,21,22.6,7.092249291,29.69224929,15.50775071,,25.85,32.093,19.607,,3.65,4.2371,3.0629,,,17,21,23,24,20,21,2.738612788,23.73861279,18.26138721,,21.3,27.7,14.9,,0,0,0,,,20,20,22,15,20,19.4,2.607680962,22.00768096,16.79231904,,19.4,23.935,14.865,,,12.05,18.647,5.4528,,,10.35,16.361,4.3388,,0,0,0
27,18,16,33,21,23,6.964194139,29.96419414,16.03580586,,25.95,31.892,20.008,,3.35,3.9371,2.7629,,,17,20,23,23,21,20.8,2.48997992,23.28997992,18.31002008,,21.2,27.637,14.763,,0,0,0,,,19,21,21,16,21,19.6,2.19089023,21.79089023,17.40910977,,19.2,23.703,14.697,,,11.8,18.454,5.1462,,,10.4,16.508,4.2922,,0,0,0
26,19,17,34,20,23.2,6.90651866,30.10651866,16.29348134,,25.95,31.857,20.043,,3.6,4.2806,2.9194,,,18,19,23,24,20,20.8,2.588435821,23.38843582,18.21156418,,21,27.72,14.28,,0,0,0,,,19,22,21,16,21,19.8,2.387467277,22.18746728,17.41253272,,18.95,23.428,14.472,,,11.95,18.874,5.0258,,,10.4,16.262,4.5384,,0,0,0
27,19,18,34,21,23.8,6.68580586,30.48580586,17.11419414,,26.1,32.09,20.11,,4.1,4.8182,3.3818,,,18,18,21,23,21,20.2,2.167948339,22.36794834,18.03205166,,20.8,28.008,13.592,,0,0,0,,,19,22,19,15,21,19.2,2.683281573,21.88328157,16.51671843,,18.85,23.61,14.09,,,11.7,18.838,4.5615,,,10.5,16.737,4.2634,,0,0,0
26,19,18,34,21,23.6,6.580273551,30.18027355,17.01972645,,25.95,31.74,20.16,,4.35,5.0208,3.6792,,,19,19,21,23,21,20.6,1.673320053,22.27332005,18.92667995,,22.25,29.947,14.553,,0,0,0,,,18,22,18,15,20,18.6,2.607680962,21.20768096,15.99231904,,18.7,23.892,13.508,,,11.65,19.1,4.2,,,10.45,16.754,4.1465,,0,0,0
26,18,17,33,20,22.8,6.68580586,29.48580586,16.11419414,,25.75,31.793,19.707,,4.3,5.3311,3.2689,,,19,19,21,23,22,20.8,1.788854382,22.58885438,19.01114562,,21.35,28.556,14.144,,0,0,0,,,17,23,19,15,20,18.8,3.033150178,21.83315018,15.76684982,,18.9,24.13,13.67,,,11.4,18.935,3.8648,,,10.6,17.035,4.1649,,0,0,0
27,18,18,33,21,23.4,6.503845017,29.90384502,16.89615498,,25.85,31.647,20.053,,4.15,5.0833,3.2167,,,19,20,22,23,22,21.2,1.643167673,22.84316767,19.55683233,,22.45,28.644,16.256,,0,0,0,,,16,22,18,14,19,17.8,3.033150178,20.83315018,14.76684982,,18.55,23.486,13.614,,,11.25,18.655,3.8453,,,10.8,17.493,4.1067,,0,0,0
