,,,Vanilla Location-1,,,,,,,,,,Vanilla Location-2,,,,,,,,,Vanilla Location-3,,,,,,
,,,,,Mean,Std,Upper ,Lower,,,,,,,Mean,Std,Upper ,Lower,,,,,,,Mean,Std,Upper ,Lower
30,14,10,34,21,21.8,10.20784012,32.00784012,11.59215988,,20,19,23,25,27,22.8,3.346640106,26.14664011,19.45335989,,15,23,11,12,20,16.2,5.167204273,21.36720427,11.03279573
30,15,9,34,20,21.6,10.35857133,31.95857133,11.24142867,,21,19,22,24,26,22.4,2.701851217,25.10185122,19.69814878,,15,22,10,12,21,16,5.338539126,21.33853913,10.66146087
30,15,10,33,20,21.6,9.762171889,31.36217189,11.83782811,,21,18,21,24,27,22.2,3.420526275,25.62052628,18.77947372,,16,23,10,12,19,16,5.244044241,21.24404424,10.75595576
31,14,10,33,20,21.6,10.16366076,31.76366076,11.43633924,,20,17,21,23,25,21.2,3.033150178,24.23315018,18.16684982,,15,23,9,13,19,15.8,5.403702434,21.20370243,10.39629757
30,14,9,33,19,21,10.27131929,31.27131929,10.72868071,,20,17,22,23,24,21.2,2.774887385,23.97488739,18.42511261,,15,23,8,13,19,15.6,5.727128425,21.32712843,9.872871575
30,14,9,34,19,21.2,10.56882207,31.76882207,10.63117793,,21,18,22,21,24,21.2,2.167948339,23.36794834,19.03205166,,16,22,9,12,20,15.8,5.403702434,21.20370243,10.39629757
30,15,9,34,20,21.6,10.35857133,31.95857133,11.24142867,,21,18,22,21,23,21,1.870828693,22.87082869,19.12917131,,15,21,9,12,21,15.6,5.366563146,20.96656315,10.23343685
31,15,10,33,20,21.8,9.984988733,31.78498873,11.81501127,,21,18,21,22,23,21,1.870828693,22.87082869,19.12917131,,15,21,8,12,22,15.6,5.941380311,21.54138031,9.658619689
31,16,10,33,21,22.2,9.782637681,31.98263768,12.41736232,,21,18,21,22,24,21.2,2.167948339,23.36794834,19.03205166,,15,21,9,12,22,15.8,5.630275304,21.4302753,10.1697247
31,16,10,33,20,22,9.823441352,31.82344135,12.17655865,,22,18,22,23,24,21.8,2.28035085,24.08035085,19.51964915,,16,22,9,13,21,16.2,5.449770637,21.64977064,10.75022936
30,16,9,33,20,21.6,9.914635646,31.51463565,11.68536435,,22,19,21,22,25,21.8,2.167948339,23.96794834,19.63205166,,15,22,8,13,21,15.8,5.805170109,21.60517011,9.994829891
29,17,9,34,21,22,9.848857802,31.8488578,12.1511422,,21,19,21,21,25,21.4,2.19089023,23.59089023,19.20910977,,15,22,9,12,22,16,5.873670062,21.87367006,10.12632994
29,18,9,33,20,21.8,9.471008394,31.27100839,12.32899161,,21,18,22,20,24,21,2.236067977,23.23606798,18.76393202,,15,21,9,13,22,16,5.477225575,21.47722558,10.52277442
28,17,9,33,20,21.4,9.396807969,30.79680797,12.00319203,,22,19,22,20,24,21.4,1.949358869,23.34935887,19.45064113,,16,21,8,13,22,16,5.787918451,21.78791845,10.21208155
27,17,9,33,21,21.4,9.208691547,30.60869155,12.19130845,,22,19,23,20,24,21.6,2.073644135,23.67364414,19.52635586,,15,22,8,12,22,15.8,6.180614856,21.98061486,9.619385144
26,16,8,34,21,21,9.848857802,30.8488578,11.1511422,,21,19,24,19,25,21.6,2.792848009,24.39284801,18.80715199,,15,22,8,12,21,15.6,5.941380311,21.54138031,9.658619689
26,17,9,33,20,21,9.082951062,30.08295106,11.91704894,,21,18,23,18,25,21,3.082207001,24.082207,17.917793,,16,21,8,12,21,15.6,5.683308895,21.2833089,9.916691105
27,18,10,33,21,21.8,8.757853618,30.55785362,13.04214638,,20,18,21,17,24,20,2.738612788,22.73861279,17.26138721,,17,22,9,12,22,16.4,5.856620186,22.25662019,10.54337981
26,17,10,34,22,21.8,9.066421565,30.86642157,12.73357843,,20,19,21,18,24,20.4,2.302172887,22.70217289,18.09782711,,17,22,8,10,22,15.8,6.57267069,22.37267069,9.22732931
26,17,13,34,21,22.2,8.167006796,30.3670068,14.0329932,,20,19,22,18,24,20.6,2.408318916,23.00831892,18.19168108,,16,23,8,10,23,16,7.03562364,23.03562364,8.96437636
27,17,13,34,21,22.4,8.294576541,30.69457654,14.10542346,,20,19,21,18,24,20.4,2.302172887,22.70217289,18.09782711,,16,23,9,9,23,16,7,23,9
26,16,14,33,20,21.8,7.758865897,29.5588659,14.0411341,,19,18,22,19,25,20.6,2.880972058,23.48097206,17.71902794,,16,23,9,9,22,15.8,6.760177512,22.56017751,9.039822488
26,15,14,33,20,21.6,7.956129712,29.55612971,13.64387029,,19,19,21,19,25,20.6,2.607680962,23.20768096,17.99231904,,17,22,8,10,21,15.6,6.348228099,21.9482281,9.251771901
25,15,14,33,18,21,7.968688725,28.96868873,13.03131127,,20,19,21,20,24,20.8,1.923538406,22.72353841,18.87646159,,16,23,8,9,21,15.4,6.804410334,22.20441033,8.595589666
24,16,12,33,18,20.6,8.173126697,28.7731267,12.4268733,,21,19,22,21,24,21.4,1.816590212,23.21659021,19.58340979,,16,23,8,9,21,15.4,6.804410334,22.20441033,8.595589666
25,16,12,34,19,21.2,8.584870413,29.78487041,12.61512959,,22,19,21,21,24,21.4,1.816590212,23.21659021,19.58340979,,16,22,9,9,21,15.4,6.268971207,21.66897121,9.131028793
25,16,11,34,19,21,8.860022573,29.86002257,12.13997743,,23,18,21,20,24,21.2,2.387467277,23.58746728,18.81253272,,15,24,8,9,21,15.4,7.092249291,22.49224929,8.307750709
25,16,11,33,18,20.6,8.561541917,29.16154192,12.03845808,,24,19,22,21,23,21.8,1.923538406,23.72353841,19.87646159,,15,25,9,9,22,16,7.348469228,23.34846923,8.651530772
25,15,12,33,19,20.8,8.378544026,29.17854403,12.42145597,,23,19,22,21,24,21.8,1.923538406,23.72353841,19.87646159,,15,25,8,10,22,16,7.38241153,23.38241153,8.61758847
25,16,11,34,19,21,8.860022573,29.86002257,12.13997743,,24,19,22,22,24,22.2,2.049390153,24.24939015,20.15060985,,15,26,9,10,23,16.6,7.635443668,24.23544367,8.964556332
24,16,11,34,19,20.8,8.757853618,29.55785362,12.04214638,,25,19,21,22,23,22,2.236067977,24.23606798,19.76393202,,15,26,9,10,23,16.6,7.635443668,24.23544367,8.964556332
24,16,10,33,18,20.2,8.729261137,28.92926114,11.47073886,,25,18,22,22,24,22.2,2.683281573,24.88328157,19.51671843,,15,26,9,9,22,16.2,7.661592524,23.86159252,8.538407476
23,14,9,33,18,19.4,9.181503145,28.58150314,10.21849686,,26,19,22,22,24,22.6,2.607680962,25.20768096,19.99231904,,15,25,8,10,22,16,7.38241153,23.38241153,8.61758847
21,14,10,32,19,19.2,8.348652586,27.54865259,10.85134741,,26,20,21,21,25,22.6,2.701851217,25.30185122,19.89814878,,16,25,8,10,22,16.2,7.362064928,23.56206493,8.837935072
20,14,10,32,19,19,8.306623863,27.30662386,10.69337614,,27,21,23,22,25,23.6,2.408318916,26.00831892,21.19168108,,15,25,8,10,23,16.2,7.596051606,23.79605161,8.603948394
20,14,10,32,20,19.2,8.318653737,27.51865374,10.88134626,,26,21,22,21,24,22.8,2.167948339,24.96794834,20.63205166,,16,25,8,11,23,16.6,7.368853371,23.96885337,9.231146629
20,13,9,32,21,19,8.803408431,27.80340843,10.19659157,,25,21,21,22,24,22.6,1.816590212,24.41659021,20.78340979,,16,26,8,11,23,16.8,7.661592524,24.46159252,9.138407476
20,12,10,33,21,19.2,9.093954036,28.29395404,10.10604596,,24,22,21,22,24,22.6,1.341640786,23.94164079,21.25835921,,15,26,9,11,22,16.6,7.231873893,23.83187389,9.368126107
20,12,10,33,20,19,9.055385138,28.05538514,9.944614862,,24,21,21,21,24,22.2,1.643167673,23.84316767,20.55683233,,16,27,8,11,23,17,7.968688725,24.96868873,9.031311275
20,11,9,33,20,18.6,9.502631215,28.10263121,9.097368785,,24,21,22,22,23,22.4,1.140175425,23.54017543,21.25982457,,15,28,9,10,22,16.8,8.105553652,24.90555365,8.694446348
21,11,9,32,20,18.6,9.181503145,27.78150314,9.418496855,,23,22,21,22,23,22.2,0.836660027,23.03666003,21.36333997,,16,27,8,10,22,16.6,7.987490219,24.58749022,8.612509781
21,11,9,33,20,18.8,9.549869109,28.34986911,9.250130891,,24,22,23,21,23,22.6,1.140175425,23.74017543,21.45982457,,15,27,9,11,22,16.8,7.56306816,24.36306816,9.23693184
22,11,10,32,19,18.8,8.983317873,27.78331787,9.816682127,,24,22,24,21,23,22.8,1.303840481,24.10384048,21.49615952,,16,28,9,11,22,17.2,7.854934755,25.05493475,9.345065245
22,12,10,32,19,19,8.774964387,27.77496439,10.22503561,,24,22,23,22,24,23,1,24,22,,15,27,8,12,23,17,7.842193571,24.84219357,9.157806429
21,13,10,33,19,19.2,8.899438185,28.09943818,10.30056182,,25,21,24,22,24,23.2,1.643167673,24.84316767,21.55683233,,15,26,9,13,23,17.2,7.085195834,24.28519583,10.11480417
22,13,10,33,19,19.4,8.961026727,28.36102673,10.43897327,,24,22,23,21,24,22.8,1.303840481,24.10384048,21.49615952,,16,25,9,12,23,17,6.892024376,23.89202438,10.10797562
22,12,9,32,18,18.6,9.044335244,27.64433524,9.555664756,,25,22,23,21,24,23,1.58113883,24.58113883,21.41886117,,15,25,9,11,22,16.4,6.913754407,23.31375441,9.486245593
22,13,9,32,17,18.6,8.905054744,27.50505474,9.694945256,,25,21,24,22,23,23,1.58113883,24.58113883,21.41886117,,15,26,9,10,23,16.6,7.635443668,24.23544367,8.964556332
22,13,9,32,18,18.8,8.871302046,27.67130205,9.928697954,,24,21,23,22,24,22.8,1.303840481,24.10384048,21.49615952,,15,26,8,10,22,16.2,7.694153625,23.89415362,8.505846375
23,13,9,33,17,19,9.38083152,28.38083152,9.61916848,,24,22,23,21,24,22.8,1.303840481,24.10384048,21.49615952,,15,26,8,11,22,16.4,7.503332593,23.90333259,8.896667407
22,14,10,32,17,19,8.485281374,27.48528137,10.51471863,,24,21,23,22,24,22.8,1.303840481,24.10384048,21.49615952,,15,25,8,10,22,16,7.38241153,23.38241153,8.61758847
21,15,9,32,18,19,8.514693183,27.51469318,10.48530682,,24,21,24,22,23,22.8,1.303840481,24.10384048,21.49615952,,15,25,9,10,22,16.2,7.120393248,23.32039325,9.079606752
21,15,9,32,18,19,8.514693183,27.51469318,10.48530682,,24,20,23,21,24,22.4,1.816590212,24.21659021,20.58340979,,14,25,9,10,22,16,7.176350047,23.17635005,8.823649953
21,15,10,32,17,19,8.276472679,27.27647268,10.72352732,,23,21,23,21,24,22.4,1.341640786,23.74164079,21.05835921,,14,25,8,11,23,16.2,7.463243263,23.66324326,8.736756737
21,14,10,33,17,19,8.803408431,27.80340843,10.19659157,,23,21,23,21,23,22.2,1.095445115,23.29544512,21.10455488,,13,26,9,11,22,16.2,7.395944835,23.59594483,8.804055165
21,14,10,32,17,18.8,8.408329204,27.2083292,10.3916708,,23,20,23,20,24,22,1.870828693,23.87082869,20.12917131,,12,26,9,11,23,16.2,7.726577509,23.92657751,8.473422491
21,13,9,32,16,18.2,8.871302046,27.07130205,9.328697954,,24,20,23,21,24,22.4,1.816590212,24.21659021,20.58340979,,12,25,8,11,22,15.6,7.436396977,23.03639698,8.163603023
21,14,10,32,17,18.8,8.408329204,27.2083292,10.3916708,,23,20,22,21,25,22.2,1.923538406,24.12353841,20.27646159,,12,26,9,11,23,16.2,7.726577509,23.92657751,8.473422491
21,14,10,32,17,18.8,8.408329204,27.2083292,10.3916708,,23,21,22,20,24,22,1.58113883,23.58113883,20.41886117,,12,26,9,11,23,16.2,7.726577509,23.92657751,8.473422491
21,14,9,33,18,19,9.027735043,28.02773504,9.972264957,,24,21,23,20,24,22.4,1.816590212,24.21659021,20.58340979,,12,26,8,10,23,15.8,8.136338243,23.93633824,7.663661757
21,12,9,33,18,18.6,9.343446901,27.9434469,9.256553099,,23,22,24,20,25,22.8,1.923538406,24.72353841,20.87646159,,12,25,9,10,23,15.8,7.596051606,23.39605161,8.203948394
22,12,9,34,18,19,9.797958971,28.79795897,9.202041029,,23,21,24,21,24,22.6,1.516575089,24.11657509,21.08342491,,12,25,8,9,23,15.4,8.018728079,23.41872808,7.381271921
21,12,9,33,18,18.6,9.343446901,27.9434469,9.256553099,,23,20,24,21,24,22.4,1.816590212,24.21659021,20.58340979,,12,24,9,10,23,15.6,7.300684899,22.9006849,8.299315101
21,12,9,33,17,18.4,9.37016542,27.77016542,9.02983458,,24,20,23,22,25,22.8,1.923538406,24.72353841,20.87646159,,13,24,9,9,22,15.4,7.162401832,22.56240183,8.237598168
21,12,10,33,18,18.8,9.093954036,27.89395404,9.706045964,,24,20,24,21,24,22.6,1.949358869,24.54935887,20.65064113,,13,24,8,10,22,15.4,7.197221686,22.59722169,8.202778314
21,13,10,33,18,19,8.91627725,27.91627725,10.08372275,,23,20,24,21,25,22.6,2.073644135,24.67364414,20.52635586,,13,25,8,9,22,15.4,7.700649323,23.10064932,7.699350677
21,13,9,32,19,18.8,8.786353055,27.58635305,10.01364695,,23,20,23,21,25,22.4,1.949358869,24.34935887,20.45064113,,14,25,8,10,21,15.6,7.231873893,22.83187389,8.368126107
22,12,10,32,19,19,8.774964387,27.77496439,10.22503561,,23,20,24,21,25,22.6,2.073644135,24.67364414,20.52635586,,14,25,8,9,21,15.4,7.436396977,22.83639698,7.963603023
22,12,10,32,18,18.8,8.786353055,27.58635305,10.01364695,,23,21,23,22,25,22.8,1.483239697,24.2832397,21.3167603,,14,26,8,9,20,15.4,7.602631123,23.00263112,7.797368877
22,13,10,32,19,19.2,8.584870413,27.78487041,10.61512959,,24,20,24,22,25,23,2,25,21,,14,26,9,9,20,15.6,7.368853371,22.96885337,8.231146629
22,13,9,32,19,19,8.860022573,27.86002257,10.13997743,,24,20,24,21,24,22.6,1.949358869,24.54935887,20.65064113,,15,25,9,9,19,15.4,6.841052551,22.24105255,8.558947449
22,13,9,32,18,18.8,8.871302046,27.67130205,9.928697954,,25,20,24,20,24,22.6,2.408318916,25.00831892,20.19168108,,15,26,8,10,20,15.8,7.362064928,23.16206493,8.437935072
21,12,10,31,18,18.4,8.324662155,26.72466216,10.07533784,,25,20,23,20,25,22.6,2.50998008,25.10998008,20.09001992,,15,26,9,9,21,16,7.483314774,23.48331477,8.516685226
21,12,10,31,19,18.6,8.324662155,26.92466216,10.27533784,,25,21,23,20,25,22.8,2.28035085,25.08035085,20.51964915,,15,25,9,10,21,16,6.92820323,22.92820323,9.07179677
20,12,10,30,18,18,7.874007874,25.87400787,10.12599213,,25,21,23,20,25,22.8,2.28035085,25.08035085,20.51964915,,16,26,8,10,20,16,7.348469228,23.34846923,8.651530772
20,13,10,30,18,18.2,7.694153625,25.89415362,10.50584638,,25,21,23,19,24,22.4,2.408318916,24.80831892,19.99168108,,15,26,7,10,21,15.8,7.791020472,23.59102047,8.008979528
20,12,10,30,19,18.2,7.886697661,26.08669766,10.31330234,,24,21,23,19,24,22.2,2.167948339,24.36794834,20.03205166,,15,25,6,10,20,15.2,7.596051606,22.79605161,7.603948394
20,12,9,31,18,18,8.514693183,26.51469318,9.485306817,,24,20,23,19,25,22.2,2.588435821,24.78843582,19.61156418,,16,25,7,10,20,15.6,7.300684899,22.9006849,8.299315101
20,13,10,31,19,18.6,8.08084154,26.68084154,10.51915846,,24,21,23,19,24,22.2,2.167948339,24.36794834,20.03205166,,15,25,7,10,20,15.4,7.300684899,22.7006849,8.099315101
20,12,9,31,19,18.2,8.526429499,26.7264295,9.673570501,,24,21,23,19,25,22.4,2.408318916,24.80831892,19.99168108,,15,25,6,10,19,15,7.449832213,22.44983221,7.550167787
19,13,10,31,18,18.2,8.043631021,26.24363102,10.15636898,,25,22,23,20,24,22.8,1.923538406,24.72353841,20.87646159,,16,25,6,11,20,15.6,7.436396977,23.03639698,8.163603023
