10.55,-2.6228,23.723
10.6,-2.4763,23.676
10.45,-2.6948,23.595
10.5,-2.6209,23.621
10.4,-2.7125,23.512
10.35,-2.6288,23.329
10.5,-2.6048,23.605
10.5,-2.6649,23.665
10.4,-2.6441,23.444
10.35,-2.641,23.341
10.3,-2.763,23.363
10.4,-2.6117,23.412
10.3,-2.6538,23.254
10.4,-2.8085,23.608
10.35,-2.774,23.474
10.35,-2.5923,23.292
10.3,-2.6171,23.217
10.3,-2.6862,23.286
10.3,-2.6375,23.238
10.35,-2.645,23.345
10.4,-2.5996,23.4
10.25,-2.654,23.154
10.25,-2.8483,23.348
10.35,-2.6572,23.357
10.3,-2.6008,23.201
10.25,-2.6947,23.195
10.3,-2.7388,23.339
10.25,-2.7028,23.203
10.2,-2.8368,23.237
10.15,-2.8693,23.169
10.4,-2.8363,23.636
10.4,-2.7725,23.573
10.4,-2.7525,23.553
10.3,-2.6497,23.25
10.35,-2.7218,23.422
10.45,-2.7587,23.659
10.4,-2.7645,23.565
10.4,-2.7245,23.525
10.4,-2.7245,23.525
10.45,-2.7707,23.671
10.3,-2.8113,23.411
10.25,-2.7556,23.256
10.3,-2.7992,23.399
10.4,-2.8839,23.684
10.3,-2.951,23.551
10.25,-2.8924,23.392
10.25,-2.8924,23.392
10.3,-2.9033,23.503
10.25,-2.8764,23.376
10.25,-2.7919,23.292
10.3,-2.8032,23.403
10.3,-2.7952,23.395
10.1,-2.9662,23.166
10.15,-2.8976,23.198
10.1,-2.9501,23.15
9.9,-3.0408,22.841
9.95,-3.0742,22.974
9.85,-3.0841,22.784
9.85,-3.1612,22.861
9.85,-3.2097,22.91
9.85,-3.3977,23.098
9.95,-3.2068,23.107
9.95,-3.2068,23.107
9.8,-3.3093,22.909
9.9,-3.1984,22.998
9.95,-3.2148,23.115
9.85,-3.2499,22.95
9.85,-3.2499,22.95
9.85,-3.1693,22.869
9.8,-3.1355,22.735
9.8,-3.2368,22.837
9.7,-3.1722,22.572
9.7,-3.1886,22.589
9.6,-3.2202,22.42
9.65,-3.1533,22.453
